"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila [°C]"
"Oulu Vihreäsaari satama","2025","11","3","16:00","6.8"
"Oulu Vihreäsaari satama","2025","11","3","16:10","6.7"
"Oulu Vihreäsaari satama","2025","11","3","16:20","6.6"
"Oulu Vihreäsaari satama","2025","11","3","16:30","6.7"
"Oulu Vihreäsaari satama","2025","11","3","16:40","6.7"
"Oulu Vihreäsaari satama","2025","11","3","16:50","6.8"
"Oulu Vihreäsaari satama","2025","11","3","17:00","6.7"
"Oulu Vihreäsaari satama","2025","11","3","17:10","6.7"
"Oulu Vihreäsaari satama","2025","11","3","17:20","6.6"
"Oulu Vihreäsaari satama","2025","11","3","17:30","6.5"
"Oulu Vihreäsaari satama","2025","11","3","17:40","6.5"
"Oulu Vihreäsaari satama","2025","11","3","17:50","6.7"
"Oulu Vihreäsaari satama","2025","11","3","18:00","6.7"
"Oulu Vihreäsaari satama","2025","11","3","18:10","7.1"
"Oulu Vihreäsaari satama","2025","11","3","18:20","7.1"
"Oulu Vihreäsaari satama","2025","11","3","18:30","7.1"
"Oulu Vihreäsaari satama","2025","11","3","18:40","7.2"
"Oulu Vihreäsaari satama","2025","11","3","18:50","7.1"
"Oulu Vihreäsaari satama","2025","11","3","19:00","7.1"
"Oulu Vihreäsaari satama","2025","11","3","19:10","7"
"Oulu Vihreäsaari satama","2025","11","3","19:20","6.9"
"Oulu Vihreäsaari satama","2025","11","3","19:30","6.8"
"Oulu Vihreäsaari satama","2025","11","3","19:40","6.8"
"Oulu Vihreäsaari satama","2025","11","3","19:50","6.9"
"Oulu Vihreäsaari satama","2025","11","3","20:00","6.9"
"Oulu Vihreäsaari satama","2025","11","3","20:10","6.7"
"Oulu Vihreäsaari satama","2025","11","3","20:20","6.8"
"Oulu Vihreäsaari satama","2025","11","3","20:30","6.7"
"Oulu Vihreäsaari satama","2025","11","3","20:40","6.5"
"Oulu Vihreäsaari satama","2025","11","3","20:50","6.5"
"Oulu Vihreäsaari satama","2025","11","3","21:00","6.5"
"Oulu Vihreäsaari satama","2025","11","3","21:10","6.5"
"Oulu Vihreäsaari satama","2025","11","3","21:20","6.7"
"Oulu Vihreäsaari satama","2025","11","3","21:30","6.6"
"Oulu Vihreäsaari satama","2025","11","3","21:40","6.7"
"Oulu Vihreäsaari satama","2025","11","3","21:50","6.6"
"Oulu Vihreäsaari satama","2025","11","3","22:00","6.7"
"Oulu Vihreäsaari satama","2025","11","3","22:10","6.8"
"Oulu Vihreäsaari satama","2025","11","3","22:20","6.7"
"Oulu Vihreäsaari satama","2025","11","3","22:30","6.7"
"Oulu Vihreäsaari satama","2025","11","3","22:40","6.5"
"Oulu Vihreäsaari satama","2025","11","3","22:50","6.6"
"Oulu Vihreäsaari satama","2025","11","3","23:00","6.6"
"Oulu Vihreäsaari satama","2025","11","3","23:10","6.6"
"Oulu Vihreäsaari satama","2025","11","3","23:20","6.4"
"Oulu Vihreäsaari satama","2025","11","3","23:30","6.4"
"Oulu Vihreäsaari satama","2025","11","3","23:40","6.3"
"Oulu Vihreäsaari satama","2025","11","3","23:50","6.4"
"Oulu Vihreäsaari satama","2025","11","4","00:00","6.2"
"Oulu Vihreäsaari satama","2025","11","4","00:10","6.1"
"Oulu Vihreäsaari satama","2025","11","4","00:20","6.1"
